teacher_id,name,fields
1,Sabrina Fauzia Alisha,Mathematics | 
2,Calila Putri Syakira,Mathematics | 
3,Mahila Putri Rahmana,Mathematics | 
4,Hikam Fahrian Basalamah,Mathematics | 
5,Zahra Maheswari Humaira,Mathematics | 
6,Zahra Annisa Rahmana,Physics | 
7,Gilang Mugni Arighi,Physics | 
8,Nayla Fauzia Alisha,Physics | 
9,Sabrina Putri Humaira,Physics | 
10,Nabila Maheswari Humaira,Physics | 
11,Mahila Shabira Syifa,Biologi | 
12,Calila Putri Khadisya,Biologi | 
13,Nayla Annisa Syakira,Biologi | 
14,Kevin Fajrul Khattab,Biologi | 
15,Calila Khalista Humaira,Biologi | 
16,Hikam Mugni Basalamah,Chemistry | 
17,Hanif Fauzi Basalamah,Chemistry | 
18,Zahra Maheswari Syakira,Chemistry | 
19,Kevin Mugni Basalamah,Chemistry | 
20,Zahra Shabira Khadisya,Chemistry | 
21,Hikam Rashid Falah,Mathematics | Chemistry | 
22,Calila Khalista Alisha,Mathematics | Physics | Biologi | Chemistry | 
23,Kevin Rashid Arighi,Physics | Biologi | Chemistry | 
24,Hikam Fahrian Khattab,Mathematics | Physics | Chemistry | 
25,Calila Putri Humaira,Biologi | Chemistry | 
26,Gilang Fahrian Basalamah,Biologi | 
27,Kevin Fajrul Thalib,Physics | 
28,Nabila Shabira Alisha,Physics | Chemistry | 
29,Mahila Annisa Khadisya,Mathematics | Biologi | Chemistry | 
30,Mahila Maheswari Syakira,Mathematics | Biologi | 
31,Zahra Nisya Syifa,Mathematics | Biologi | Chemistry | 
32,Calila Annisa Syifa,Mathematics | Physics | 
33,Kevin Rafli Khattab,Physics | Biologi | 
34,Gilang Rafli Pamula,Physics | 
35,Hikam Rashid Arighi,Mathematics | Physics | Chemistry | 
36,Mahila Shabira Khadisya,Mathematics | Biologi | 
37,Mahila Putri Salsabila,Physics | Biologi | 
38,Nayla Khalista Salsabila,Mathematics | Physics | 
39,Gilang Rafli Khattab,Biologi | 
40,Mahila Fauzia Syakira,Physics | Chemistry | 
41,Kevin Rashid Basalamah,Physics | Biologi | 
42,Nayla Maheswari Khadisya,Mathematics | Physics | 
43,Zahra Khalista Salsabila,Mathematics | Physics | 
44,Hanif Rashid Basalamah,Mathematics | Physics | Biologi | Chemistry | 
45,Hanif Arkananta Basalamah,Physics | Chemistry | 
46,Gilang Rashid Ramadhan,Mathematics | Physics | 
47,Hanif Fajrul Thalib,Mathematics | Physics | 
48,Kevin Fahrian Ramadhan,Mathematics | Physics | Biologi | Chemistry | 
49,Calila Maheswari Syifa,Mathematics | Physics | Biologi | Chemistry | 
50,Zulfan Mugni Thalib,Chemistry | 
51,Zahra Shabira Humaira,Physics | Biologi | 
52,Gilang Fahrian Thalib,Mathematics | Biologi | 
53,Zulfan Rafli Khattab,Physics | Chemistry | 
54,Mahila Shabira Syakira,Physics | 
55,Hikam Rafli Falah,Physics | 
56,Hakim Fauzi Pamula,Mathematics | 
57,Kevin Rafli Basalamah,Mathematics | Chemistry | 
58,Hakim Fahrian Pamula,Biologi | 
59,Mahila Qolbu Salsabila,Chemistry | 
60,Zahra Nisya Humaira,Mathematics | Physics | Chemistry | 
61,Hanif Arshaka Ramadhan,Mathematics | Physics | 
62,Zulfan Fauzi Ramadhan,Mathematics | Physics | 
63,Nabila Maheswari Salsabila,Mathematics | Biologi | 
64,Nayla Shabira Salsabila,Chemistry | 
65,Hikam Arshaka Thalib,Mathematics | Physics | Chemistry | 
66,Hanif Rafli Falah,Mathematics | Physics | 
67,Gilang Mugni Falah,Mathematics | Physics | Biologi | 
68,Sabrina Khalista Khadisya,Mathematics | Physics | Chemistry | 
69,Hanif Mugni Arighi,Biologi | Chemistry | 
70,Hanif Mugni Pamula,Physics | 
71,Mahila Khalista Khadisya,Mathematics | Physics | Biologi | 
72,Zulfan Fahrian Arighi,Mathematics | Biologi | 
73,Zulfan Arshaka Khattab,Mathematics | Physics | Chemistry | 
74,Nabila Annisa Syakira,Mathematics | 
